Asset Category;Annotation Column;Illustration Value;Transcript #;Row ID;Keep;Status;Locator;Timing Source;Timing Confidence;Edit Timestamp;Start Time;End Time;Source Timestamp;Source Start Time;Source End Time;Text;Reference Segment
nouns;Person Mention;nicolas cage;1;1;x;ANCHOR;reference_span;word_exact;0.95;00:00:02.233;00:00:02:07;00:00:03:00;00:00:02.233;00:00:02:07;00:00:03:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
locations_3d;Location Mention;washington;1;1;x;ANCHOR;reference_span;word_exact;0.95;00:00:05.300;00:00:05:09;00:00:05:19;00:00:05.300;00:00:05:09;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
numbers;Date Mention;janvier 2012;1;1;x;ANCHOR;reference_span;word_exact;0.95;00:00:01.167;00:00:01:05;00:00:02:00;00:00:01.167;00:00:01:05;00:00:02:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
calendar;Date Mention;janvier 2012;1;1;x;ANCHOR;reference_span;word_exact;0.95;00:00:01.167;00:00:01:05;00:00:02:00;00:00:01.167;00:00:01:05;00:00:02:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
numbers;Date Mention;2012;1;1;x;ANCHOR;reference_span;word_exact;0.95;00:00:01.267;00:00:01:08;00:00:02:00;00:00:01.267;00:00:01:08;00:00:02:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
calendar;Date Mention;2012;1;1;x;ANCHOR;reference_span;word_exact;0.95;00:00:01.267;00:00:01:08;00:00:02:00;00:00:01.267;00:00:01:08;00:00:02:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
city_country;City Mention;washington;1;1;x;ANCHOR;reference_span;word_exact;0.95;00:00:05.300;00:00:05:09;00:00:05:19;00:00:05.300;00:00:05:09;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
nouns;Person Mention;leonardo dicaprio;5;5;x;ANCHOR;row_fallback;row_fallback;0.40;00:00:08.767;00:00:08:23;00:00:13:11;00:00:10.600;00:00:10:18;00:00:15:06;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.
money;Money Mention;270 000 dollars;5;5;x;ANCHOR;reference_span;word_exact;0.95;00:00:11.233;00:00:11:07;00:00:13:11;00:00:13.067;00:00:13:02;00:00:15:06;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.
numbers;Number Mention;270;5;5;x;ANCHOR;reference_span;word_exact;0.95;00:00:11.233;00:00:11:07;00:00:12:12;00:00:13.067;00:00:13:02;00:00:14:07;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.
calendar;Number Mention;270;5;5;x;ANCHOR;reference_span;word_exact;0.95;00:00:11.233;00:00:11:07;00:00:12:12;00:00:13.067;00:00:13:02;00:00:14:07;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.
locations_3d;Location Mention;mongolie;7;7;x;MATCH;row_fallback;row_fallback;0.40;00:00:13.367;00:00:13:11;00:00:16:28;00:00:16.500;00:00:16:15;00:00:20:02;Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil.;Il passe devant leonardo dicaprio qui voulait aussi le fossile.
city_country;City Mention;mongolie;7;7;x;MATCH;row_fallback;row_fallback;0.40;00:00:13.367;00:00:13:11;00:00:16:28;00:00:16.500;00:00:16:15;00:00:20:02;Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil.;Il passe devant leonardo dicaprio qui voulait aussi le fossile.
percent;Percent Mention;0%;11;11;x;TRANSPOSED_MATCH;reference_span;word_exact;0.95;00:00:24.167;00:00:24:05;00:00:25:03;00:00:28.533;00:00:28:16;00:00:29:14;en Mongolie. Nicolas Cage devra rendre le fossile et il sera remboursé à 0%.;Nicolas cage devra rendre le fossile il sera remboursé à 0%.
social_ranking_punctuation;Bold Text;il sera remboursé;11;11;x;TRANSPOSED_MATCH;reference_span;word_exact;0.95;00:00:22.867;00:00:22:26;00:00:23:25;00:00:27.233;00:00:27:07;00:00:28:06;en Mongolie. Nicolas Cage devra rendre le fossile et il sera remboursé à 0%.;Nicolas cage devra rendre le fossile il sera remboursé à 0%.
titles;Titles;fou,vrai, incroyable.;21;21;x;MATCH;reference_span;word_exact;0.95;00:00:30.467;00:00:30:14;00:00:33:00;00:00:43.467;00:00:43:14;00:00:46:00;C'est fou, vrai, incroyable.;c’est fou,vrai, incroyable.
ransom_gifs;Titles;fou,vrai, incroyable.;21;21;x;MATCH;reference_span;word_exact;0.95;00:00:30.467;00:00:30:14;00:00:33:00;00:00:43.467;00:00:43:14;00:00:46:00;C'est fou, vrai, incroyable.;c’est fou,vrai, incroyable.
social_ranking_punctuation;Social Network Mention;Twitter;31;31;x;MATCH;reference_span;word_exact;0.95;00:00:37.767;00:00:37:23;00:00:38:03;00:01:01.000;00:01:01:00;00:01:01:10;Et puis allez voir notre page Twitter.;Et puis allez voir notre page twitter.
