Asset Category;Annotation Column;Illustration Value;Transcript #;Row ID;Edit Timestamp;Edit Start Time;Edit End Time;Source Timestamp;Source Start Time;Source End Time;Timing Source;Timing Confidence;Locator;Asset Path;Original Asset Path;Manifest Path;Entry ID;Status
calendar;Date Mention;janvier 2012;1;1;00:00:01.167;00:00:01.167;00:00:02.000;;;;exact;0.00;reference_span;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m01s167ms_1_calendar_001_CAL.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_calendar_media/videos/calendar_001.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_calendar_media/nicolascage_20260426_181230_groq_html_comparison_calendar_manifest.json;1;timed_manifest
nouns;Person Mention;nicolas cage;1;1;00:00:02.233;00:00:02:07;00:00:03:00;00:00:02.233;00:00:02:07;00:00:03:00;word_exact;0.95;reference_span;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_images/people/00h00m02s233ms_2_nicolas_cage.jpg;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_images/people/nicolas_cage.jpg;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_images.json;2;precise_candidate
nouns;Person Mention;nicolas cage;1;1;00:00:02.233;00:00:02:07;00:00:03:00;00:00:02.233;00:00:02:07;00:00:03:00;word_exact;0.95;reference_span;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m02s233ms_2_image@circle_arrow_trans_nicolas_cage.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/asset/arrows/circle_arrow_trans_centered__minus12db.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_transitions/nicolascage_20260426_181230_groq_html_comparison_nouns_transition_manifest.json;2;precise_candidate
nouns;Person Mention;nicolas cage;1;1;00:00:02.233;00:00:02:07;00:00:03:00;00:00:02.233;00:00:02:07;00:00:03:00;word_exact;0.95;reference_span;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m02s233ms_2_nicolas_cage_filled.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_transitions/videos/nicolas_cage_filled.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_transitions/nicolascage_20260426_181230_groq_html_comparison_nouns_transition_manifest.json;2;precise_candidate
locations_3d;Location Mention;washington;1;1;00:00:05.300;00:00:05:09;00:00:05:19;00:00:05.300;00:00:05:09;00:00:05:19;word_exact;0.95;reference_span;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m05s300ms_2_city_002_washington_00:02-00:07.webm;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_3d_locations/videos/city_002_washington.webm;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_3d_locations/nicolascage_20260426_181230_groq_html_comparison_3d_location_manifest.json;2;precise_candidate
animated_emoji;;cat face;3;3;00:00:06.367;00:00:06.367;00:00:06.367;;;;inherited_interpolated;0.00;reference_span;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m06s367ms_5_cat_face_1f431_EMOJI.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/animated_emoji/emoji_output_up/cat_face__1f431.mov;;5;timed_manifest
animated_emoji;;dog face;3;3;00:00:07.600;00:00:07.600;00:00:07.667;;;;exact;0.00;reference_span;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m07s600ms_6_dog_face_1f436_EMOJI.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/animated_emoji/emoji_output_up/dog_face__1f436.mov;;6;timed_manifest
nouns;Person Mention;leonardo dicaprio;5;5;00:00:08.767;00:00:08:23;00:00:13:11;00:00:10.600;00:00:10:18;00:00:15:06;row_fallback;0.40;row_fallback;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_images/people/00h00m08s767ms_1_leonardo_dicaprio.jpg;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_images/people/leonardo_dicaprio.jpg;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_images.json;1;precise_candidate
nouns;Person Mention;leonardo dicaprio;5;5;00:00:08.767;00:00:08:23;00:00:13:11;00:00:10.600;00:00:10:18;00:00:15:06;row_fallback;0.40;row_fallback;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m08s767ms_1_image@circle_arrow_trans_leonardo_dicaprio.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/asset/arrows/circle_arrow_trans_centered__minus12db.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_transitions/nicolascage_20260426_181230_groq_html_comparison_nouns_transition_manifest.json;1;precise_candidate
nouns;Person Mention;leonardo dicaprio;5;5;00:00:08.767;00:00:08:23;00:00:13:11;00:00:10.600;00:00:10:18;00:00:15:06;row_fallback;0.40;row_fallback;/Users/mathieusandana/Desktop/code/deployable_auto-montage/swisser/Universal_pipe/Insert/00h00m08s767ms_1_leonardo_dicaprio_filled.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_transitions/videos/leonardo_dicaprio_filled.mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/insert_creator/output/nicolascage_20260426_181230_groq_html_comparison_nouns_transitions/nicolascage_20260426_181230_groq_html_comparison_nouns_transition_manifest.json;1;precise_candidate
