Start Time;End Time;Transcript Word;Reference Word;Illustration Type;Crossing With Previous
00:00:15.167;00:00:16.933;qui voulait aussi le fossil;qui voulait aussi le fossile.;image_link;
00:00:20.033;00:00:21.133;nicolas cage devra rendre;Nicolas cage devra rendre;website_link;
00:00:22.867;00:00:23.833;il sera remboursé;il sera remboursé;bold;
00:00:25.100;00:00:25.233;tous;es journaux en parle;article_link;
00:00:26.467;00:00:28.433;il y a meme des photos qui sortent;Il y a même des photos qui sortent;tweet_link;
00:00:28.433;00:00:30.167;et meme des videos qui ont marque l histoire;Et même des video qui ont marqué l’histoire;video_link_direct;
00:00:30.167;00:00:33.000;;fou,vrai, incroyable.;title_h1;
00:00:37.767;00:00:38.100;Twitter;Twitter;twitter;
00:00:39.200;00:00:40.500;NicolasKage.com;NicolasKage.com;spoken_url;
00:00:40.500;00:00:41.467;Passez une bonne journée.;nicolas-cage.com;website_link;
