"Clip ID","Source Start Time","Source End Time","Duration Seconds"
"1","00:00:01:04","00:00:07:11","6.260000"
"2","00:00:08:16","00:00:11:10","2.810000"
"3","00:00:12:01","00:00:15:20","3.660000"
"4","00:00:16:01","00:00:19:10","3.310000"
"5","00:00:20:07","00:00:22:02","1.860000"
"6","00:00:22:14","00:00:27:25","5.360000"
"7","00:00:28:07","00:00:29:01","0.810000"
"8","00:00:29:29","00:00:34:05","4.210000"
"9","00:00:34:19","00:00:38:08","3.660000"
"10","00:00:38:20","00:00:39:23","1.110000"
"11","00:00:39:29","00:00:42:28","2.960000"
"12","00:00:44:19","00:00:48:02","3.460000"
"13","00:00:48:29","00:00:52:22","3.760000"
"14","00:00:53:01","00:00:56:13","3.410000"
"15","00:00:56:29","00:00:58:22","1.760000"
"16","00:00:58:28","00:01:01:28","3.010000"
"17","00:01:03:07","00:01:05:14","2.260000"
"18","00:01:06:05","00:01:08:07","2.060000"
"19","00:01:08:13","00:01:13:29","5.560000"
"20","00:01:17:05","00:01:19:13","2.260000"
"21","00:01:19:20","00:01:23:16","3.860000"
"22","00:01:24:05","00:01:30:05","6.010000"
"23","00:01:30:11","00:01:31:22","1.360000"
"24","00:01:32:13","00:01:37:10","4.910000"
"25","00:01:37:23","00:01:40:22","2.960000"
"26","00:01:41:02","00:01:44:11","3.310000"
"27","00:01:44:26","00:01:47:14","2.610000"
"28","00:01:47:25","00:01:49:14","1.660000"
"29","00:01:49:28","00:01:51:01","1.110000"
"30","00:01:52:02","00:01:55:25","3.760000"
"31","00:01:56:16","00:02:00:29","4.460000"
"32","00:02:02:04","00:02:07:17","5.460000"
"33","00:02:09:04","00:02:15:04","6.010000"
"34","00:02:15:13","00:02:17:16","2.110000"
"35","00:02:18:07","00:02:20:08","2.060000"
"36","00:02:20:22","00:02:22:23","2.060000"
"37","00:02:23:14","00:02:29:29","6.510000"
"38","00:02:30:19","00:02:32:23","2.160000"
"39","00:02:33:14","00:02:35:02","1.610000"
"40","00:02:36:01","00:02:38:05","2.160000"
"41","00:02:38:29","00:02:39:21","0.731333"
