"Word","Start Time","End Time"
"On","00:00:00:15","00:00:00:20"
"est","00:00:00:20","00:00:00:23"
"en","00:00:00:23","00:00:01:05"
"janvier","00:00:01:05","00:00:01:08"
"2012,","00:00:01:08","00:00:02:00"
"l'acteur","00:00:02:00","00:00:02:07"
"Nicolas","00:00:02:07","00:00:02:16"
"Cage","00:00:02:16","00:00:03:00"
"participe","00:00:03:00","00:00:03:18"
"à","00:00:03:18","00:00:03:23"
"une","00:00:03:23","00:00:04:03"
"enchère","00:00:04:03","00:00:04:15"
"secrète","00:00:04:15","00:00:05:04"
"à","00:00:05:04","00:00:05:09"
"Washington","00:00:05:09","00:00:05:19"
"Dans","00:00:06:17","00:00:06:19"
"la","00:00:06:19","00:00:07:00"
"salle,","00:00:07:00","00:00:07:04"
"il","00:00:07:04","00:00:07:05"
"y","00:00:07:05","00:00:07:05"
"a","00:00:07:05","00:00:07:06"
"un","00:00:07:06","00:00:07:09"
"cheval,","00:00:07:09","00:00:08:07"
"il","00:00:08:07","00:00:08:09"
"y","00:00:08:09","00:00:08:10"
"a","00:00:08:10","00:00:08:10"
"un","00:00:08:10","00:00:08:16"
"chien","00:00:08:16","00:00:08:18"
"et","00:00:08:18","00:00:09:06"
"il","00:00:09:06","00:00:09:09"
"y","00:00:09:09","00:00:09:10"
"a","00:00:09:10","00:00:09:10"
"un","00:00:09:10","00:00:09:13"
"cerf-volant.","00:00:09:13","00:00:09:21"
"Il","00:00:10:18","00:00:10:21"
"achète","00:00:10:21","00:00:11:04"
"un","00:00:11:04","00:00:11:11"
"fossile","00:00:11:11","00:00:11:21"
"de","00:00:11:21","00:00:12:04"
"dinosaure","00:00:12:04","00:00:12:18"
"pour","00:00:12:18","00:00:13:02"
"270","00:00:13:02","00:00:14:07"
"000","00:00:14:07","00:00:14:14"
"dollars.","00:00:14:14","00:00:15:06"
"Il","00:00:16:15","00:00:16:19"
"passe","00:00:16:19","00:00:17:02"
"devant","00:00:17:02","00:00:17:08"
"Leonardo","00:00:17:08","00:00:17:18"
"DiCaprio","00:00:17:18","00:00:18:09"
"qui","00:00:18:09","00:00:18:14"
"voulait","00:00:18:14","00:00:18:19"
"aussi","00:00:18:19","00:00:19:07"
"le","00:00:19:07","00:00:19:14"
"Fossil.","00:00:19:14","00:00:20:02"
"Mais","00:00:20:19","00:00:20:23"
"le","00:00:20:23","00:00:21:01"
"fossile","00:00:21:01","00:00:21:09"
"a","00:00:21:09","00:00:21:14"
"en","00:00:21:14","00:00:21:16"
"fait","00:00:21:16","00:00:21:19"
"été","00:00:21:19","00:00:22:01"
"volé.","00:00:22:01","00:00:22:11"
"en","00:00:23:01","00:00:23:06"
"Mongolie.","00:00:23:06","00:00:24:12"
"Nicolas","00:00:24:12","00:00:24:19"
"Cage","00:00:24:19","00:00:25:00"
"devra","00:00:25:00","00:00:25:07"
"rendre","00:00:25:07","00:00:25:15"
"le","00:00:25:15","00:00:25:20"
"fossile","00:00:25:20","00:00:26:07"
"et","00:00:26:07","00:00:27:07"
"il","00:00:27:07","00:00:27:08"
"sera","00:00:27:08","00:00:27:15"
"remboursé","00:00:27:15","00:00:28:06"
"à","00:00:28:06","00:00:28:16"
"0%.","00:00:28:16","00:00:29:14"
"Tous","00:00:31:08","00:00:31:12"
"les","00:00:31:12","00:00:31:19"
"journaux","00:00:31:19","00:00:32:03"
"en","00:00:32:03","00:00:32:08"
"parlent.","00:00:32:08","00:00:32:19"
"Il","00:00:33:11","00:00:34:05"
"y","00:00:34:05","00:00:34:06"
"a","00:00:34:06","00:00:34:07"
"même","00:00:34:07","00:00:34:13"
"des","00:00:34:13","00:00:34:21"
"photos","00:00:34:21","00:00:35:04"
"qui","00:00:35:04","00:00:35:08"
"sortent","00:00:35:08","00:00:35:18"
"Il","00:00:36:17","00:00:36:21"
"y","00:00:36:21","00:00:37:00"
"a","00:00:37:00","00:00:37:02"
"même","00:00:37:02","00:00:37:06"
"des","00:00:37:06","00:00:37:10"
"photos","00:00:37:10","00:00:37:16"
"qui","00:00:37:16","00:00:37:21"
"sortent.","00:00:37:21","00:00:38:16"
"et","00:00:39:22","00:00:40:01"
"même","00:00:40:01","00:00:40:07"
"des","00:00:40:07","00:00:40:12"
"vidéos","00:00:40:12","00:00:40:18"
"qui","00:00:40:18","00:00:40:23"
"ont","00:00:40:23","00:00:41:01"
"marqué","00:00:41:01","00:00:41:07"
"l'histoire.","00:00:41:07","00:00:41:14"
"C'est","00:00:43:05","00:00:43:14"
"fou,","00:00:43:14","00:00:44:12"
"vrai,","00:00:44:12","00:00:45:17"
"incroyable.","00:00:45:17","00:00:46:00"
"Abonnez-vous","00:00:47:09","00:00:47:18"
"à","00:00:47:18","00:00:47:20"
"la","00:00:47:20","00:00:48:00"
"chaîne","00:00:48:00","00:00:48:06"
"Abonnez-vous","00:00:50:12","00:00:50:23"
"à","00:00:50:23","00:00:51:06"
"la","00:00:51:06","00:00:51:10"
"chaîne","00:00:51:10","00:00:51:16"
"Abonnez-vous","00:00:52:15","00:00:53:03"
"à","00:00:53:03","00:00:53:12"
"la","00:00:53:12","00:00:53:17"
"chaîne !","00:00:53:17","00:00:54:10"
"Abonnez-vous","00:00:55:14","00:00:56:01"
"à","00:00:56:01","00:00:56:08"
"la","00:00:56:08","00:00:56:12"
"chaîne,","00:00:56:12","00:00:57:07"
"faites-nous","00:00:57:07","00:00:57:13"
"un","00:00:57:13","00:00:57:17"
"don","00:00:57:17","00:00:58:00"
"sur","00:00:58:00","00:00:58:09"
"Tipeee","00:00:58:09","00:00:58:19"
"Et","00:00:59:12","00:00:59:15"
"puis","00:00:59:15","00:00:59:20"
"allez","00:00:59:20","00:01:00:03"
"voir","00:01:00:03","00:01:00:07"
"notre","00:01:00:07","00:01:00:12"
"page","00:01:00:12","00:01:01:00"
"Twitter.","00:01:01:00","00:01:01:10"
"Et","00:01:02:17","00:01:02:21"
"enfin...","00:01:02:21","00:01:03:12"
"Et","00:01:04:19","00:01:04:22"
"rendez-vous","00:01:04:22","00:01:05:14"
"sur","00:01:05:14","00:01:05:22"
"NicolasKage.com","00:01:05:22","00:01:07:01"
"C'est","00:01:10:06","00:01:10:12"
"tout ?","00:01:10:12","00:01:11:01"
"Oui,","00:01:11:01","00:01:11:09"
"c'est","00:01:11:09","00:01:11:12"
"tout","00:01:11:12","00:01:11:16"
"ce","00:01:11:16","00:01:11:17"
"que","00:01:11:17","00:01:11:21"
"j'avais","00:01:11:21","00:01:12:00"
"à","00:01:12:00","00:01:12:03"
"dire.","00:01:12:03","00:01:13:02"
"C'est","00:01:14:09","00:01:14:15"
"une","00:01:14:15","00:01:14:18"
"très","00:01:14:18","00:01:14:23"
"bonne","00:01:14:23","00:01:15:01"
"journée.","00:01:15:01","00:01:15:18"
"Passez","00:01:16:18","00:01:17:04"
"une","00:01:17:04","00:01:17:07"
"bonne","00:01:17:07","00:01:17:11"
"journée.","00:01:17:11","00:01:17:17"
"C'est","00:01:20:06","00:01:20:10"
"une","00:01:20:10","00:01:20:14"
"très","00:01:20:14","00:01:20:17"
"bonne","00:01:20:17","00:01:20:18"
"journée.","00:01:20:18","00:01:21:03"
"Thank","00:01:22:14","00:01:23:03"
"you.","00:01:23:03","00:01:23:18"
